tick,time_s,speed_kph,target_speed_kph,steering,steering_wheel_deg,throttle,brake,parking,slip_deg,target_slip_deg,lateral_error_m,damage,laps
1,0.067,0.430,41.000,0.0622,0.000,0.9000,0.0000,0.0000,0.000,-2.250,-0.130,0.000,0
2,0.129,0.105,41.000,0.0928,11.829,0.9000,0.0000,0.0000,0.000,-2.250,-0.130,0.000,0
4,0.203,1.113,41.000,0.1086,24.466,0.9000,0.0000,0.0000,0.000,-2.250,-0.131,0.000,0
5,0.269,4.714,41.000,0.1172,36.425,0.9000,0.0000,0.0000,0.000,-2.250,-0.132,0.000,0
6,0.335,9.232,41.000,0.1218,47.509,0.9000,0.0000,0.0000,0.000,-2.250,-0.134,0.000,0
8,0.406,11.623,41.000,0.1232,54.788,0.9000,0.0000,0.0000,0.000,-2.250,-0.135,0.000,0
9,0.475,12.682,41.000,0.1230,55.429,0.9000,0.0000,0.0000,0.000,-2.250,-0.136,0.000,0
10,0.544,13.908,41.000,0.1322,55.362,0.7453,0.0000,0.0000,3.550,-2.250,-0.137,0.000,0
12,0.612,15.015,41.000,0.1372,59.504,0.6973,0.0000,0.0000,4.117,-2.250,-0.140,0.000,0
13,0.676,15.940,41.000,0.1398,61.750,0.6621,0.0000,0.0000,5.058,-2.250,-0.144,0.000,0
14,0.743,17.990,41.000,0.1352,62.891,0.6748,0.0000,0.0000,3.646,-2.250,-0.148,0.000,0
16,0.805,19.161,41.000,0.1304,60.855,0.6671,0.0000,0.0000,3.440,-2.250,-0.153,0.000,0
17,0.868,21.829,41.000,0.1213,58.688,0.6803,0.0000,0.0000,2.392,-2.250,-0.159,0.000,0
18,0.930,23.335,41.000,0.1124,54.597,0.6638,0.0000,0.0000,2.250,-2.250,-0.166,0.000,0
19,0.995,25.312,41.000,0.1032,50.565,0.6518,0.0000,0.0000,1.880,-2.250,-0.172,0.000,0
21,1.060,26.777,41.000,0.0975,46.453,0.6254,0.0000,0.0000,1.937,-2.250,-0.206,0.000,0
22,1.128,28.579,41.000,0.0921,43.879,0.5790,0.0000,0.0000,2.266,-2.250,-0.213,0.000,0
24,1.203,29.869,41.000,0.0858,41.448,0.5560,0.0000,0.0000,2.309,-2.250,-0.224,0.000,0
25,1.271,31.533,41.000,0.0765,38.599,0.5681,0.0000,0.0000,1.584,-2.250,-0.232,0.000,0
26,1.340,33.201,41.000,0.0665,34.419,0.5600,0.0000,0.0000,1.235,-2.250,-0.241,0.000,0
28,1.409,34.310,41.000,0.0583,29.938,0.5250,0.0000,0.0000,1.558,-2.250,-0.250,0.000,0
29,1.477,35.928,41.000,0.0479,26.245,0.5414,0.0000,0.0000,0.767,-2.250,-0.260,0.000,0
30,1.547,36.839,41.000,0.0380,21.565,0.5415,0.0000,0.0000,0.492,-2.250,-0.271,0.000,0
32,1.614,38.014,41.000,0.0289,17.097,0.5303,0.0000,0.0000,0.348,-2.250,-0.282,0.000,0
33,1.681,38.801,41.000,0.0209,13.020,0.5191,0.0000,0.0000,0.323,-2.250,-0.293,0.000,0
34,1.745,39.780,41.000,0.0130,9.394,0.5145,0.0000,0.0000,0.115,-2.250,-0.304,0.000,0
36,1.811,40.578,41.000,0.0058,5.866,0.5048,0.0000,0.0000,-0.057,-2.250,-0.316,0.000,0
37,1.877,41.329,41.000,-0.0011,2.592,0.4806,0.0000,0.0000,-0.285,-2.250,-0.327,0.000,0
38,1.944,41.932,41.000,-0.0114,-0.475,0.4578,0.0000,0.0000,-0.515,-2.057,-0.339,0.000,0
40,2.008,42.179,41.000,-0.0187,-5.124,0.4486,0.0000,0.0000,-0.615,-2.057,-0.351,0.000,0
41,2.074,42.900,41.000,-0.0246,-8.431,0.4212,0.0000,0.0000,-0.913,-2.057,-0.363,0.000,0
42,2.145,43.035,41.000,-0.0283,-11.082,0.4168,0.0000,0.0000,-0.954,-2.057,-0.375,0.000,0
44,2.211,43.251,41.000,-0.0298,-12.743,0.4146,0.0000,0.0000,-0.931,-2.057,-0.387,0.000,0
45,2.280,43.630,41.000,-0.0296,-13.422,0.4059,0.0000,0.0000,-0.979,-2.057,-0.399,0.000,0
47,2.353,44.305,41.000,-0.0271,-13.324,0.4063,0.0000,0.0000,-0.770,-2.057,-0.410,0.000,0
48,2.422,43.901,41.000,-0.1158,-12.325,0.4235,0.0000,0.0000,-0.593,2.355,-0.423,0.000,0
49,2.489,44.309,41.000,-0.1589,-25.435,0.3956,0.0000,0.0000,-0.994,2.355,-0.435,0.000,0
51,2.559,44.553,41.000,-0.1772,-40.662,0.3801,0.0000,0.0000,-1.211,2.355,-0.443,0.000,0
52,2.633,44.824,41.000,-0.1803,-55.730,0.3447,0.0000,0.0000,-1.794,2.355,-0.445,0.000,0
53,2.699,44.510,41.000,-0.1698,-69.341,0.3380,0.0000,0.0000,-2.014,2.355,-0.439,0.000,0
55,2.767,44.227,41.000,-0.1474,-78.088,0.3314,0.0000,0.0000,-2.223,2.355,-0.425,0.000,0
56,2.833,44.299,41.000,-0.1210,-67.816,0.3593,0.0000,0.0000,-1.715,2.796,-0.402,0.000,0
57,2.898,44.342,41.000,-0.0773,-54.457,0.4350,0.0000,0.0000,-0.283,2.796,-0.374,0.000,0
59,2.961,44.852,41.000,-0.0247,-32.183,0.3899,0.0000,0.0000,0.974,2.796,-0.344,0.000,0
60,3.028,45.296,41.000,0.0318,-8.287,0.3109,0.0000,0.0000,2.322,2.796,-0.313,0.000,0
61,3.093,44.743,41.000,0.0878,15.021,0.2383,0.0000,0.0000,3.851,2.796,-0.283,0.000,0
63,3.156,44.512,41.000,0.1291,32.592,0.2093,0.0000,0.0000,5.030,3.236,-0.255,0.000,0
64,3.223,43.522,41.000,0.1657,50.086,0.2251,0.0000,0.0000,5.400,3.236,-0.226,0.000,0
65,3.288,42.595,41.000,0.1981,67.869,0.2400,0.0000,0.0000,6.585,3.236,-0.198,0.000,0
67,3.353,42.069,41.000,0.2202,84.549,0.2484,0.0000,0.0000,6.771,3.236,-0.171,0.000,0
68,3.427,41.303,41.000,0.2216,100.219,0.2626,0.0000,0.0000,6.990,3.676,-0.145,0.000,0
69,3.497,40.869,41.000,0.2134,113.828,0.2695,0.0000,0.0000,6.933,3.676,-0.122,0.000,0
71,3.568,40.710,41.000,0.1906,121.940,0.2721,0.0000,0.0000,6.459,3.676,-0.103,0.000,0
72,3.644,40.044,41.000,0.1486,108.210,0.2985,0.0000,0.0000,5.152,3.676,-0.087,0.000,0
74,3.714,39.960,41.000,0.0842,82.620,0.3722,0.0000,0.0000,3.749,3.921,-0.075,0.000,0
75,3.778,40.795,41.000,0.0145,52.663,0.4236,0.0000,0.0000,2.162,3.921,-0.066,0.000,0
76,3.842,41.815,41.000,-0.0511,20.522,0.4646,0.0000,0.0000,0.757,3.921,-0.061,0.000,0
78,3.912,42.915,41.000,-0.1057,-7.869,0.4580,0.0000,0.0000,-0.487,3.921,-0.055,0.000,0
79,3.974,43.716,41.000,-0.1450,-26.036,0.4137,0.0000,0.0000,-1.270,3.947,-0.045,0.000,0
80,4.037,44.258,41.000,-0.1664,-42.009,0.3929,0.0000,0.0000,-1.569,3.947,-0.033,0.000,0
82,4.102,44.237,41.000,-0.1706,-56.001,0.3869,0.0000,0.0000,-1.726,3.947,-0.014,0.000,0
83,4.168,44.801,41.000,-0.1593,-67.812,0.3693,0.0000,0.0000,-1.939,3.947,0.012,0.000,0
84,4.235,45.385,41.000,-0.1436,-77.755,0.3609,0.0000,0.0000,-1.913,3.947,0.278,0.000,0
86,4.300,46.427,41.000,-0.1101,-70.314,0.3547,0.0000,0.0000,-1.656,3.947,0.323,0.000,0
87,4.365,47.102,41.000,-0.0642,-52.415,0.3617,0.0000,0.0000,-1.217,3.947,0.383,0.000,0
88,4.434,47.516,41.000,-0.0387,-28.456,0.3902,0.0000,0.0000,-0.387,4.132,0.911,0.000,0
89,4.497,48.070,41.000,-0.0005,-10.889,0.3734,0.0000,0.0000,0.592,4.132,0.965,0.000,0
91,4.561,48.806,41.000,0.0364,10.311,0.3440,0.0000,0.0000,1.047,4.132,1.023,0.000,0
92,4.625,49.414,41.000,0.0650,22.839,0.1000,0.0124,0.0000,1.428,4.132,1.084,0.000,0
93,4.690,48.604,41.000,0.0460,32.898,0.3404,0.0000,0.0000,1.435,4.626,1.618,0.000,0
95,4.757,49.304,41.000,0.0294,29.297,0.1000,0.0091,0.0000,1.105,4.626,1.655,0.000,0
96,4.828,49.090,41.000,0.0105,18.001,0.1000,0.0027,0.0000,0.677,4.626,1.691,0.000,0
97,4.892,48.866,41.000,-0.0468,5.725,0.3827,0.0000,0.0000,0.193,5.249,2.200,0.000,0
99,4.958,49.792,41.000,-0.0821,-9.987,0.1000,0.0237,0.0000,-0.201,5.249,2.209,0.000,0
100,5.020,49.815,41.000,-0.1011,-23.659,0.1000,0.0244,0.0000,-0.577,5.249,2.221,0.000,0
101,5.085,49.330,41.000,-0.1443,-36.448,0.1000,0.0099,0.0000,-0.820,5.874,2.713,0.000,0
102,5.149,49.383,41.000,-0.1574,-49.562,0.1000,0.0115,0.0000,-1.189,5.874,2.715,0.000,0
104,5.214,49.277,41.000,-0.1497,-61.914,0.1000,0.0083,0.0000,-1.266,5.874,2.730,0.000,0
105,5.283,49.084,41.000,-0.1547,-72.356,0.1000,0.0025,0.0000,-1.549,6.496,3.009,0.000,0
106,5.346,49.130,41.000,-0.1345,-74.399,0.1000,0.0039,0.0000,-1.559,6.496,3.041,0.000,0
108,5.416,49.241,41.000,-0.0983,-64.560,0.1000,0.0072,0.0000,-1.278,6.496,3.091,0.000,0
109,5.483,48.953,41.000,-0.0530,-46.034,0.3692,0.0000,0.0000,-0.955,6.496,3.155,0.000,0
111,5.552,50.175,41.000,-0.0157,-22.965,0.1000,0.0353,0.0000,-0.430,6.926,3.258,0.000,0
112,5.625,49.409,41.000,0.0255,-2.047,0.1000,0.0123,0.0000,0.335,6.926,3.343,0.000,0
113,5.687,49.071,41.000,0.0592,14.002,0.1000,0.0021,0.0000,0.854,6.926,3.429,0.000,0
115,5.755,49.040,41.000,0.0804,25.054,0.1000,0.0012,0.0000,0.901,6.877,3.515,0.000,0
116,5.817,48.746,41.000,0.0874,34.687,0.3758,0.0000,0.0000,0.941,6.877,3.597,0.000,0
117,5.889,50.479,41.000,0.0820,43.748,0.1000,0.0444,0.0000,1.108,6.877,3.672,0.000,0
119,5.953,49.619,41.000,0.0632,40.849,0.1000,0.0186,0.0000,1.013,6.512,3.976,0.000,0
120,6.017,49.366,41.000,0.0384,30.658,0.1000,0.0110,0.0000,0.642,6.512,4.019,0.000,0
121,6.080,49.163,41.000,0.0109,17.152,0.1000,0.0049,0.0000,0.093,6.512,4.056,0.000,0
122,6.144,48.981,41.000,-0.0368,2.895,0.3853,0.0000,0.0000,-0.204,6.129,4.692,0.000,0
124,6.207,50.223,41.000,-0.0678,-11.774,0.1000,0.0367,0.0000,-0.502,6.129,4.692,0.000,0
125,6.272,49.731,41.000,-0.0838,-23.741,0.1000,0.0219,0.0000,-0.642,6.129,4.693,0.000,0
126,6.337,49.637,41.000,-0.1199,-34.747,0.1000,0.0191,0.0000,-0.869,5.766,5.438,0.000,0
127,6.400,49.435,41.000,-0.1296,-46.004,0.1000,0.0130,0.0000,-1.107,5.766,5.413,0.000,0
129,6.465,49.487,41.000,-0.1217,-56.827,0.1000,0.0146,0.0000,-1.263,5.766,5.398,0.000,0
130,6.533,49.239,41.000,-0.1331,-59.434,0.1000,0.0072,0.0000,-1.352,5.417,6.134,0.000,0
131,6.599,49.099,41.000,-0.1191,-63.667,0.1000,0.0030,0.0000,-1.320,5.417,6.106,0.000,0
133,6.663,49.437,41.000,-0.0909,-56.725,0.1000,0.0131,0.0000,-1.209,5.417,6.094,0.000,0
134,6.726,49.105,41.000,-0.0904,-43.002,0.1000,0.0032,0.0000,-0.898,5.240,6.822,0.000,0
135,6.793,48.833,41.000,-0.0704,-40.982,0.3679,0.0000,0.0000,-0.692,5.240,6.796,0.000,0
137,6.855,49.962,41.000,-0.0442,-31.342,0.1000,0.0289,0.0000,-0.514,5.240,6.781,0.000,0
138,6.914,49.493,41.000,-0.0147,-18.232,0.1000,0.0148,0.0000,-0.044,5.240,6.775,0.000,0
139,6.987,49.141,41.000,-0.0162,-3.494,0.1000,0.0042,0.0000,0.259,5.257,7.228,0.000,0
140,7.050,49.155,41.000,-0.0106,-3.452,0.1000,0.0046,0.0000,0.264,5.257,7.202,0.000,0
142,7.115,49.004,41.000,-0.0058,-2.329,0.1000,0.0001,0.0000,0.123,5.257,7.180,0.000,0
143,7.176,48.771,41.000,-0.0119,-1.588,0.3888,0.0000,0.0000,0.049,5.290,7.282,0.000,0
144,7.239,50.318,41.000,-0.0170,-5.118,0.1000,0.0395,0.0000,-0.117,5.290,7.256,0.000,0
146,7.302,49.681,41.000,-0.0191,-8.232,0.1000,0.0204,0.0000,-0.250,5.290,7.232,0.000,0
147,7.364,49.228,41.000,-0.0146,-9.648,0.1000,0.0068,0.0000,-0.233,5.119,7.211,0.000,0
148,7.429,49.218,41.000,-0.0103,-7.642,0.1000,0.0065,0.0000,-0.241,5.119,7.191,0.000,0
149,7.497,49.165,41.000,-0.0054,-5.055,0.1000,0.0050,0.0000,-0.184,5.119,7.172,0.000,0
151,7.558,49.109,41.000,0.0091,-2.472,0.1000,0.0033,0.0000,-0.119,4.624,7.163,0.000,0
152,7.623,49.126,41.000,0.0180,4.167,0.1000,0.0038,0.0000,0.127,4.624,7.145,0.000,0
153,7.685,49.139,41.000,0.0223,8.788,0.1000,0.0042,0.0000,0.245,4.624,7.125,0.000,0
155,7.755,49.115,41.000,0.0336,11.221,0.1000,0.0034,0.0000,0.326,4.001,7.137,0.000,0
156,7.819,48.917,41.000,0.0354,16.288,0.3671,0.0000,0.0000,0.378,4.001,7.109,0.000,0
157,7.882,49.881,41.000,0.0300,17.355,0.1000,0.0264,0.0000,0.439,4.001,7.078,0.000,0
158,7.944,49.544,41.000,0.0313,14.774,0.1000,0.0163,0.0000,0.385,3.376,7.090,0.000,0
160,8.004,49.399,41.000,0.0250,14.710,0.1000,0.0120,0.0000,0.323,3.376,7.048,0.000,0
161,8.067,49.096,41.000,0.0151,11.396,0.1000,0.0029,0.0000,0.231,3.376,7.003,0.000,0
162,8.128,49.144,41.000,0.0157,6.838,0.1000,0.0043,0.0000,0.079,2.700,7.004,0.000,0
163,8.190,49.362,41.000,0.0111,6.732,0.1000,0.0109,0.0000,0.075,2.700,6.953,0.000,0
165,8.255,48.939,41.000,0.0055,4.832,0.3727,0.0000,0.0000,0.064,2.700,6.899,0.000,0
166,8.315,50.287,41.000,0.0960,2.364,0.1000,0.0386,0.0000,0.032,-2.076,6.893,0.000,0
167,8.378,49.834,41.000,0.1399,14.799,0.1000,0.0250,0.0000,0.236,-2.076,6.834,0.000,0
168,8.444,49.467,41.000,0.1593,30.298,0.1000,0.0140,0.0000,0.504,-2.076,6.770,0.000,0
170,8.506,49.426,41.000,0.1754,46.079,0.1000,0.0128,0.0000,0.944,-2.783,6.735,0.000,0
171,8.568,49.083,41.000,0.1720,60.494,0.1000,0.0025,0.0000,1.195,-2.783,6.649,0.000,0
172,8.630,49.243,41.000,0.1531,72.022,0.1000,0.0073,0.0000,1.338,-2.783,6.551,0.000,0
173,8.693,49.209,41.000,0.1339,73.733,0.1000,0.0063,0.0000,1.513,-3.372,6.452,0.000,0
175,8.753,49.208,41.000,0.0998,65.045,0.1000,0.0062,0.0000,1.337,-3.372,6.326,0.000,0
176,8.815,49.211,41.000,0.0567,47.866,0.1000,0.0063,0.0000,1.052,-3.372,6.187,0.000,0
177,8.882,48.942,41.000,0.0095,26.117,0.3592,0.0000,0.0000,0.418,-3.372,6.038,0.000,0
178,8.946,50.133,41.000,-0.0238,2.522,0.1000,0.0340,0.0000,-0.182,-3.968,5.881,0.000,0
180,9.008,49.513,41.000,-0.0545,-14.228,0.1000,0.0154,0.0000,-0.708,-3.968,5.723,0.000,0
181,9.069,49.046,41.000,-0.0757,-25.333,0.1000,0.0014,0.0000,-0.876,-3.968,5.566,0.000,0
182,9.141,48.966,41.000,-0.0698,-34.393,0.3530,0.0000,0.0000,-0.927,-4.703,5.410,0.000,0
184,9.211,49.979,41.000,-0.0607,-36.213,0.1000,0.0294,0.0000,-1.014,-4.703,5.252,0.000,0
185,9.283,49.648,41.000,-0.0446,-30.232,0.1000,0.0194,0.0000,-0.714,-4.703,5.100,0.000,0
186,9.347,49.361,41.000,-0.0049,-20.695,0.1000,0.0108,0.0000,-0.378,-5.632,4.956,0.000,0
188,9.407,49.208,41.000,0.0242,-1.177,0.1000,0.0063,0.0000,-0.132,-5.632,4.819,0.000,0
189,9.469,49.169,41.000,0.0441,11.918,0.1000,0.0051,0.0000,0.413,-5.632,4.686,0.000,0
190,9.534,49.111,41.000,0.0529,22.869,0.1000,0.0033,0.0000,0.651,-5.632,4.548,0.000,0
191,9.595,49.329,41.000,0.0744,27.559,0.1000,0.0099,0.0000,0.804,-6.633,4.338,0.000,0
193,9.658,48.986,41.000,0.0746,35.761,0.3720,0.0000,0.0000,0.863,-6.633,4.197,0.000,0
194,9.720,50.332,41.000,0.0600,36.710,0.1000,0.0400,0.0000,0.915,-6.633,4.045,0.000,0
195,9.782,49.558,41.000,0.0790,29.349,0.2200,0.0167,0.0000,0.631,-7.646,3.435,0.000,0
196,9.844,49.699,41.000,0.0725,35.886,0.2200,0.0210,0.0000,0.518,-7.646,3.294,0.000,0
198,9.904,50.369,41.000,0.0538,33.286,0.2200,0.0411,0.0000,0.619,-7.646,3.144,0.000,0
199,9.974,50.114,41.000,0.0857,25.271,0.2200,0.0334,0.0000,0.469,-8.645,2.235,0.000,0
200,10.037,50.436,41.000,0.0862,33.748,0.2200,0.0431,0.0000,0.466,-8.645,2.092,0.000,0
202,10.109,50.446,41.000,0.0717,39.732,0.2200,0.0434,0.0000,0.756,-8.645,1.934,0.000,0
203,10.180,51.015,41.000,0.1011,34.179,0.2200,0.0605,0.0000,0.722,-9.495,1.007,0.000,0
205,10.252,50.762,41.000,0.0972,43.758,0.2200,0.0529,0.0000,0.727,-9.495,0.853,0.000,0
206,10.322,51.185,41.000,0.0751,45.268,0.2200,0.0656,0.0000,0.908,-9.495,0.679,0.000,0
207,10.388,50.929,41.000,0.0927,35.008,0.3200,0.0579,0.0000,0.699,-10.185,-0.247,0.000,0
209,10.451,51.948,41.000,0.0807,41.429,0.3200,0.0884,0.0000,0.646,-10.185,-0.399,0.000,0
210,10.517,51.980,41.000,0.0546,35.786,0.3200,0.0894,0.0000,0.583,-10.185,-0.559,0.000,0
211,10.590,52.457,41.000,0.1317,22.937,0.3200,0.1037,1.0000,0.239,-10.846,-2.908,0.000,0
213,10.655,52.882,41.000,0.1534,33.059,0.3200,0.1165,1.0000,0.197,-10.846,-2.978,0.000,0
214,10.720,51.718,41.000,0.0938,46.460,0.3200,0.0815,1.0000,0.543,-10.846,-1.906,0.000,0
215,10.781,50.146,41.000,0.1150,40.456,0.3200,0.0344,1.0000,0.581,-11.514,-3.163,0.000,0
216,10.846,49.348,41.000,0.1078,49.522,0.3200,0.0104,1.0000,0.658,-11.514,-3.269,0.000,0
218,10.907,48.468,41.000,0.0847,47.414,0.5132,0.0000,0.0000,0.691,-11.514,-3.384,0.000,0
219,10.966,49.379,41.000,0.0523,37.217,0.3200,0.0114,0.0000,0.396,-11.514,-3.510,0.000,0
220,11.025,49.961,41.000,0.0909,20.978,0.3200,0.0288,0.0000,0.127,-12.123,-4.746,0.000,0
221,11.085,50.853,41.000,0.0957,27.689,0.3200,0.0556,0.0000,0.006,-12.123,-4.823,0.000,0
222,11.146,51.078,41.000,0.0863,37.030,0.3200,0.0623,0.0000,0.376,-12.123,-4.911,0.000,0
224,11.215,51.097,41.000,0.0690,36.073,0.3200,0.0629,0.0000,0.633,-12.123,-5.013,0.000,0
225,11.282,51.403,41.000,0.1807,29.652,0.3200,0.0721,0.0000,0.361,-12.699,-7.365,0.000,0
227,11.354,51.602,41.000,0.2231,42.008,0.3200,0.0781,0.0000,0.602,-12.699,-7.365,0.000,0
228,11.415,51.916,41.000,0.2293,58.632,0.3200,0.0875,0.0000,0.929,-12.699,-7.382,0.000,0
229,11.479,52.529,41.000,0.2800,74.215,0.3200,0.1059,0.0000,1.020,-13.317,-8.400,0.000,0
230,11.541,52.490,41.000,0.2820,89.369,0.3200,0.1047,0.0000,1.217,-13.317,-8.395,0.000,0
232,11.600,52.214,41.000,0.2546,102.848,0.3200,0.0964,0.0000,1.011,-13.317,-8.412,0.000,0
233,11.660,52.654,41.000,0.2693,106.644,0.3200,0.1096,0.0000,0.804,-13.981,-9.231,0.000,0
234,11.729,52.849,41.000,0.2447,106.587,0.3200,0.1155,0.0000,0.695,-13.981,-9.241,0.000,0
235,11.790,53.249,41.000,0.1968,90.647,0.3200,0.1275,0.0000,0.215,-13.981,-9.273,0.000,0
237,11.851,53.597,41.000,0.1934,66.135,0.3200,0.1379,0.0000,-0.304,-14.660,-10.060,0.000,0
238,11.909,54.103,41.000,0.1554,59.631,0.3200,0.1531,0.0000,-0.832,-14.660,-10.088,0.000,0
239,11.977,54.181,41.000,0.0975,42.724,0.3200,0.1554,0.0000,-1.512,-14.660,-10.138,0.000,0
240,12.040,53.627,41.000,0.0909,17.630,0.3200,0.1388,0.0000,-2.227,-15.469,-10.917,0.000,0
242,12.110,53.847,41.000,0.0546,11.004,0.3200,0.1454,0.0000,-2.735,-15.469,-10.957,0.000,0
243,12.178,53.858,41.000,0.0678,-5.170,0.3200,0.1457,0.0000,-3.110,-16.264,-11.730,0.000,0
244,12.245,53.942,41.000,0.0529,0.060,0.3200,0.1483,0.0000,-2.990,-16.264,-11.760,0.000,0
246,12.312,54.284,41.000,0.0992,-2.934,0.3200,0.1585,0.0000,-2.603,-16.671,-12.806,0.000,0
247,12.377,53.458,41.000,0.1109,11.568,0.3200,0.1337,0.0000,-1.973,-16.671,-12.806,0.000,0
248,12.441,53.529,41.000,0.1085,27.610,0.3200,0.1359,0.0000,-1.184,-16.671,-12.827,0.000,0
250,12.505,54.048,41.000,0.1830,36.034,0.3200,0.1515,0.0000,-0.524,-16.810,-14.003,0.000,0
251,12.571,53.813,41.000,0.2088,51.329,0.3200,0.1444,0.0000,0.028,-16.810,-13.976,0.000,0
